,team_api_id,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
9,8485,59,64,53,51,72,63,49,45,63
15,8576,59,57,52,48,38,52,38,47,53
21,8564,48,70,52,66,36,69,58,57,49
27,10215,53,53,44,55,51,60,39,38,61
33,10217,56,40,66,55,52,38,40,50,52
39,8593,35,43,39,58,55,30,64,53,59
45,9865,46,41,65,57,54,40,37,53,45
51,8635,52,46,51,60,53,47,53,50,61
57,8121,48,61,50,40,52,48,44,44,51
65,108893,56,46,54,55,40,43,48,53,57
70,158085,65,66,39,55,59,46,37,39,37
76,9825,59,51,30,28,44,46,51,44,52
82,10252,63,37,54,60,48,38,35,44,54
88,8524,64,45,37,38,49,51,36,63,49
94,8315,46,46,39,50,60,36,49,57,50
100,9906,57,50,50,61,62,49,49,42,52
106,8406,59,51,55,49,62,55,34,50,59
112,8583,64,55,49,51,63,50,34,45,40
118,10229,50,46,58,67,56,50,50,61,55
124,8634,36,35,51,36,49,56,61,65,65
130,9976,52,40,65,40,55,48,50,51,55
136,9931,61,63,46,66,66,54,47,58,53
142,8178,73,29,55,77,54,61,61,72,50
148,9823,45,24,28,37,31,22,72,53,59
158,9807,51,53,52,43,37,48,38,48,49
166,9772,69,55,53,65,66,54,60,57,54
172,8658,56,32,75,77,62,64,42,47,54
178,8655,60,60,65,59,58,42,50,50,57
184,8483,62,36,64,59,43,64,39,38,54
185,8613,47,56,50,37,38,53,32,62,54
191,9911,69,38,57,66,40,66,58,47,67
197,9857,63,53,48,32,48,52,30,54,48
203,8559,57,34,61,72,60,38,39,48,58
209,9827,51,40,48,49,63,44,57,52,49
215,9789,71,37,40,70,44,49,65,71,40
221,9788,31,53,32,38,26,49,41,48,39
230,8678,47,36,47,49,45,47,48,50,62
236,10264,55,35,55,62,65,39,25,56,39
242,9858,42,56,43,41,48,69,41,52,57
248,8521,59,48,54,49,53,66,44,34,51
254,8191,54,32,67,72,57,47,63,62,58
260,7819,62,50,45,48,54,53,43,42,51
